date,oi,nc_long,nc_short,c_long,c_short
2004-01-06,61052,25848,1341,7835,51471
2004-01-13,62404,27269,1913,7872,52353
2004-01-20,61905,26269,698,7121,49701
2004-01-27,61742,26523,1153,7803,51196
2004-02-03,51677,21322,1044,6665,41419
2004-02-10,58655,24250,2337,6783,47709
2004-02-17,67461,31248,2153,9207,54525
2004-02-24,59772,22429,1082,12008,48364
2004-03-02,55548,17417,995,12491,42100
2004-03-09,58264,14256,3771,18743,42451
2004-03-16,29167,6792,2956,4486,20717
2004-03-23,29576,5533,2567,5938,21468
2004-03-30,30367,6776,2604,7144,23046
2004-04-06,37468,11844,1477,6617,30354
2004-04-12,39460,12252,826,8048,32503
2004-04-20,31409,5808,2562,9475,21700
2004-04-27,32822,5801,2668,11346,22108
2004-05-04,35722,6397,4211,15117,21782
2004-05-11,36777,2845,5687,20143,20821
2004-05-18,38361,4260,6035,19859,21525
2004-05-25,38618,3817,8097,19877,18539
2004-06-01,39054,3008,8071,21602,19630
2004-06-08,42488,2186,6255,23855,23996
2004-06-15,23761,3931,4841,6997,7737
2004-06-22,24238,3662,4794,8242,8967
2004-06-29,26312,5885,4181,8380,10807
2004-07-06,25832,5257,3067,6653,22371
2004-07-13,30583,8622,953,6319,20799
2004-07-20,36642,10974,868,7847,25001
2004-07-27,28377,5018,2369,7771,16107
2004-08-03,30603,7348,888,7478,19064
2004-08-10,30904,8478,1365,6977,20160
2004-08-17,33254,9122,943,7487,23166
2004-08-24,34627,8792,1513,8646,24076
2004-08-31,32662,7138,2400,8243,19195
2004-09-07,35375,5160,5823,15336,17085
2004-09-21,22195,6972,6159,4605,4910
2004-09-28,29604,10783,3698,4549,18396
2004-10-05,43324,19510,2610,5610,33816
2004-10-12,53591,26060,1857,4430,42674
2004-10-19,53667,24842,2333,6105,43850
2004-10-26,60051,30579,2049,4680,48572
2004-11-02,61179,30737,1747,5504,48988
2004-11-09,67041,34824,2434,5386,52304
2004-11-16,70438,37285,2682,6775,56012
2004-11-23,70137,33214,2585,8675,56092
2004-11-30,73359,33361,2387,10893,57270
2004-12-07,88254,35652,1409,22386,71878
2004-12-14,56837,29627,66,7497,47159
2004-12-21,59283,29069,65,8956,48694
2004-12-28,60977,30330,73,8428,51620
2005-01-04,66759,32283,1670,10887,55491
2005-01-11,62685,26494,517,14661,52728
2005-01-18,65081,27749,534,15419,54133
2005-01-25,71814,31905,1002,16991,59467
2005-02-01,79897,38430,2646,15927,67085
2005-02-08,76844,36050,8451,16625,60624
2005-02-15,89106,44618,7919,15181,73102
2005-02-22,95179,49918,3948,14255,82272
2005-03-01,104099,56250,871,16082,94838
2005-03-08,130231,55816,3863,38147,114073
2005-03-15,102848,57410,3269,17468,93058
2005-03-22,105846,58973,3982,18980,94366
2005-03-29,81324,30819,4195,28694,69175
