date,oi,nc_long,nc_short,c_long,c_short
2000-08-29,73012,13536,12330,25725,40097
2000-09-05,77486,13034,12652,27815,44012
2000-09-12,84086,9717,8543,33165,53837
2000-09-19,73646,10333,14570,28109,41289
2000-09-26,66421,6334,6185,26471,41681
2000-10-03,67596,8336,4943,26050,45677
2000-10-10,71703,10749,5346,25878,49257
2000-10-17,73195,10224,8504,29498,47644
2000-10-24,76773,10198,8365,31077,49632
2000-10-31,75650,11095,8922,29207,48019
2000-11-07,73922,11615,7837,28448,48798
2000-11-14,78068,11197,8462,32903,52762
2000-11-21,81781,11397,5489,35273,56874
2000-11-28,85904,11221,4280,37403,64284
2000-12-05,89752,16995,967,35485,75350
2000-12-12,98322,20411,879,37199,83304
2000-12-19,77326,22289,475,15586,67727
2000-12-26,84237,28255,1875,15504,70687
2001-01-02,84654,28678,1604,16458,72543
2001-01-09,92722,25570,1738,23388,76659
2001-01-16,93621,24015,3280,25094,77345
2001-01-23,85880,18885,1643,26742,71235
2001-01-30,85158,16910,750,26214,71507
2001-02-06,90774,16903,2568,29456,74894
2001-02-13,90316,16118,1416,32266,74715
2001-02-20,89783,10940,938,35298,72179
2001-02-27,94625,12364,2851,40411,76447
2001-03-06,96223,17250,186,35850,80960
2001-03-13,102063,9179,1352,46386,81465
2001-03-20,73043,8415,5802,28968,53720
2001-03-27,73047,9243,5359,28945,49225
2001-04-03,77853,12823,6048,30257,53667
2001-04-10,75092,11040,5295,29219,51528
2001-04-17,77532,12851,7858,28686,58926
2001-04-24,80964,12647,5344,31366,68983
2001-05-01,82811,12005,5961,32807,69241
2001-05-08,87560,12030,7676,36381,67658
2001-05-15,88743,13881,10473,37044,62243
2001-05-22,92969,13720,19173,40057,54258
2001-05-29,93121,15862,18793,37947,55984
2001-06-05,99312,15748,20561,43561,55503
2001-06-12,114364,16502,21090,54352,55921
2001-06-19,73278,12297,8664,25596,37560
2001-06-26,75413,13806,10631,25888,40558
2001-07-03,77138,14741,11495,26321,37968
2001-07-10,83100,17180,10529,28465,45139
2001-07-17,84435,17084,8041,28123,52300
2001-07-24,87072,20062,5771,24519,61640
2001-07-31,89655,21210,5127,26097,65480
2001-08-07,94227,22076,5436,28745,70251
2001-08-14,99325,27479,3126,39997,91634
2001-08-21,109131,30729,1759,46443,103589
2001-08-28,113131,31666,2161,33194,93070
2001-09-04,108326,25446,3625,35686,84764
2001-09-10,117970,21845,3996,43737,86898
2001-09-18,100031,27680,3243,28800,87292
2001-09-25,108418,30766,2918,33101,95574
2001-10-02,109676,28463,3511,35483,96388
2001-10-09,113099,27660,5219,36396,96883
2001-10-16,106649,22095,4479,40634,89824
2001-10-23,104525,17751,8361,45354,76666
2001-10-30,107845,24443,7757,40514,85308
2001-11-06,102865,21939,6587,40871,79450
2001-11-13,108807,15570,15086,48628,70765
2001-11-20,114006,17899,18185,56818,70035
2001-11-27,112644,17930,17015,55705,66262
2001-12-04,109051,22650,8804,46524,77654
2001-12-11,114593,19857,7951,48959,75401
2001-12-18,90033,21445,9574,25047,67263
2001-12-21,93493,23412,11990,27827,63775
2001-12-28,88738,19106,7924,32250,58140
2002-01-08,95885,20385,5612,33174,76510
2002-01-15,99564,19669,7573,38839,74716
2002-01-22,103166,22270,4981,40205,79729
2002-01-29,107634,15039,14184,52586,69151
2002-02-05,107814,16358,14035,52585,69303
2002-02-12,107689,16274,13020,51004,72450
2002-02-19,112662,22094,13447,50420,77338
2002-02-26,109561,20441,17308,47552,69941
2002-03-05,118935,20406,14118,56093,83303
2002-03-12,114001,24796,9335,44016,84487
2002-03-19,96111,28092,6836,29671,75935
2002-03-26,105052,30732,7439,33184,84427
2002-04-02,109996,34364,8206,35699,91003
