date,oi,nc_long,nc_short,c_long,c_short
1988-04-29,3714,0,0,2403,2386
1988-05-13,4051,231,0,2187,2286
1988-05-31,6090,0,267,2967,1420
1988-06-15,16980,996,4132,7449,2602
1988-06-30,16530,300,2960,8505,3676
1988-07-15,17980,941,2692,8698,3557
1988-07-29,16199,0,1400,6774,4274
1988-08-15,19804,1412,1236,7316,9006
1988-08-31,19574,3255,1033,6472,8667
1988-09-15,19741,199,831,10901,10155
1988-09-30,12790,1761,1326,3929,3224
1988-10-14,22023,6874,1316,2240,12717
1988-10-31,19073,3773,366,2866,9893
1988-11-15,19333,4097,0,3675,12165
1988-11-30,28514,8470,0,4668,19937
1988-12-15,28928,6098,2048,11171,18167
1988-12-30,16277,2251,1907,5998,7812
1989-01-13,24359,1356,6839,15422,6099
1989-01-31,24733,3285,6149,13662,8237
1989-02-15,23653,1357,5117,12997,7341
1989-02-28,25427,488,5939,14233,7477
1989-03-15,20601,2579,6212,12214,2148
1989-03-31,21413,800,8183,14552,962
1989-04-14,22808,4600,7083,10661,2848
1989-04-28,18096,2363,4056,8038,2475
1989-05-15,27737,899,11768,19562,3337
1989-05-31,27640,918,10005,18962,4794
1989-06-15,29312,1097,6337,20236,9860
1989-06-30,23390,400,8344,14934,752
1989-07-14,23729,2906,6606,12165,9254
1989-07-31,26345,9989,1711,4776,17878
1989-08-15,23192,1869,7915,13022,4202
1989-08-31,21958,1330,4997,14747,3167
1989-09-15,34445,745,8219,22220,10566
1989-09-29,24441,5352,1716,9539,15042
1989-10-13,20998,841,5151,13826,4684
1989-10-31,22915,2819,3477,12561,10405
1989-11-15,26200,6408,3278,12295,14057
1989-11-30,23429,550,3941,15485,9180
1989-12-15,29696,6991,614,11836,22140
1989-12-29,19835,7388,251,1771,13964
1990-01-15,23586,8634,676,2745,16288
1990-01-31,26743,10083,684,4365,18425
1990-02-15,30949,8859,1002,5620,19223
1990-02-28,30640,7169,1210,8846,18692
1990-03-15,30738,1704,6905,21078,12056
1990-03-30,20876,426,4332,11422,5263
1990-04-12,24758,917,3410,9929,8904
1990-04-30,25039,1490,5896,13081,6361
1990-05-15,31004,5984,2267,9817,17119
1990-05-31,37655,13336,2109,9172,24146
1990-06-15,41745,15163,2242,9808,28249
1990-06-29,35653,16957,1895,2739,25435
1990-07-13,36784,14648,1171,4015,23043
1990-07-31,38002,14226,1484,5088,24607
1990-08-15,42643,15351,1757,10222,29600
1990-08-31,39839,9801,1154,14595,26290
1990-09-14,38312,3199,4394,21794,22103
1990-09-28,28248,2128,7640,18710,10048
1990-10-15,32439,8375,3093,10185,19866
1990-10-31,34086,9998,2887,11636,19752
1990-11-15,40331,12422,1656,14435,25824
1990-11-30,36595,9283,1530,15871,19900
1990-12-14,36298,7382,6322,21149,14093
1990-12-31,25426,775,7398,17805,2461
1991-01-15,20985,1224,5911,12845,4176
1991-01-31,28788,6552,2892,10431,14919
1991-02-15,37151,11853,3541,8888,21450
1991-02-28,31471,4082,6636,17851,11219
1991-03-15,40947,875,7856,32341,17715
1991-03-28,30696,0,11004,23947,6044
1991-04-15,30173,522,7496,18512,7625
1991-04-30,28408,620,6162,18524,7747
1991-05-15,31279,3617,4504,18009,12019
1991-05-31,29737,213,5207,21583,7860
1991-06-14,42887,1047,7119,33628,17644
1991-06-28,30644,545,8368,21327,5326
1991-07-15,27547,2388,7421,15387,6262
1991-07-31,20593,3620,1572,6441,8967
1991-08-15,20125,3103,567,5344,7127
1991-08-30,20845,1329,1083,9924,8548
1991-09-16,35446,8565,798,9562,25111
1991-09-30,24941,8548,0,1357,16379
1991-10-15,21621,2494,3114,9807,5994
1991-10-31,24630,3648,486,8924,13622
