date,oi,nc_long,nc_short,c_long,c_short
1997-09-16,7578,1363,522,2051,1953
1997-09-23,5684,1413,343,954,2017
1997-09-30,5874,1413,1297,1220,319
1997-10-07,7368,2378,343,1348,1370
1997-10-14,9638,3864,643,1226,3604
1997-10-21,12786,6410,333,1321,6167
1997-10-28,14967,6590,330,1895,7286
1997-11-04,15555,8385,811,1677,8342
1997-11-11,15798,9655,810,1186,9063
1997-11-18,17032,10845,860,760,9726
1997-11-25,17147,10890,926,776,9928
1997-12-02,17369,11155,1136,766,9914
1997-12-09,18862,11904,355,1116,2373
1997-12-16,20585,11895,355,1121,2418
1997-12-19,20130,903,355,1092,2405
1998-01-13,8506,1326,1395,0,975
1998-01-20,8442,1840,2180,0,970
1998-01-27,10946,1145,3855,0,1167
1998-02-03,12043,1674,4402,0,1333
1998-02-10,14188,1530,5868,1015,1127
1998-02-17,14991,2444,7095,685,1177
1998-02-24,17256,0,8691,599,1336
1998-03-03,18250,1788,8946,694,1739
1998-03-10,20361,1940,10427,1229,1782
1998-03-17,22048,1893,10698,1647,2396
1998-03-24,8050,3044,2006,515,0
1998-03-31,9323,3193,2732,515,0
1998-04-07,10516,970,3957,515,326
1998-04-14,11428,1478,4459,830,441
1998-04-21,12715,2559,5276,974,556
1998-04-28,14162,1481,6491,1064,561
1998-05-05,14545,989,7326,1018,526
1998-05-12,15758,355,8158,1170,822
1998-05-19,17015,1045,8473,1374,1123
1998-05-26,18168,1608,9693,1374,1935
1998-06-02,19767,1112,10366,1647,2484
1998-06-09,21080,381,11080,1821,2873
1998-06-16,14522,897,2924,2787,3504
1998-06-23,7469,2586,1380,418,348
1998-06-30,9910,421,3714,1549,300
1998-07-14,7559,709,895,612,490
1998-07-21,9059,1151,1619,566,1171
1998-07-28,8440,653,0,789,1545
1998-08-04,9283,1146,0,1407,1306
1998-08-11,10936,2801,425,1124,1526
1998-08-18,10194,1144,495,903,1587
1998-08-25,12835,2498,1801,1671,1982
1998-09-01,16026,1407,4096,3736,2088
1998-09-08,15423,2467,2075,3529,3318
1998-09-15,17217,2164,1694,4493,3568
1998-10-06,14181,1451,2186,1377,307
1998-10-13,12046,1645,2484,1897,380
1998-10-20,12394,2847,2913,1977,722
1998-10-27,13026,0,3451,2795,782
1998-11-03,14585,830,3495,3669,1684
1998-11-10,16092,1175,5348,4595,2024
1998-11-17,14502,744,4630,4793,1582
1998-11-24,16292,1960,5941,4958,2150
1998-12-01,17109,2052,6962,5226,1746
1998-12-08,17752,1367,7195,5762,2579
1998-12-15,22883,1072,8674,7749,3279
1998-12-22,8613,621,1843,754,972
1998-12-29,8483,774,1172,754,1228
1999-01-05,10216,1100,2244,1373,1884
1999-01-12,10122,1697,2143,1861,1765
1999-01-19,13304,1125,3313,4952,1930
1999-01-26,14791,2714,3470,4185,1531
1999-02-02,17908,5149,4170,5058,1999
1999-02-09,17202,2991,4681,6135,2145
1999-02-16,20073,4623,4095,6735,4274
1999-02-23,21738,6968,4855,5785,3395
1999-03-02,18493,3681,5205,5523,4190
1999-03-09,18491,4278,5135,5633,4574
1999-03-16,22024,5171,5120,5769,5578
1999-03-23,10374,1742,1018,776,1560
1999-03-30,12061,4421,1092,813,1932
1999-04-06,14991,7194,1011,1146,3630
1999-04-13,18217,10303,1341,1169,5405
1999-04-20,17021,4768,3242,1067,4978
1999-04-27,19755,9674,3743,1195,7198
1999-05-04,19385,3040,4225,1351,6640
1999-05-11,19712,4136,5954,2087,4292
1999-05-18,19596,5352,6560,2297,4519
1999-05-25,23767,6428,7831,4852,5467
1999-06-01,22593,7004,8377,5075,3667
1999-06-08,23290,8311,8525,4686,4291
1999-06-15,26835,9168,3201,4432,4060
1999-06-22,11403,2967,1780,1142,840
1999-06-29,15191,5819,4103,3313,1243
1999-07-06,18063,7308,5354,4248,2508
1999-07-13,14703,3207,4640,3343,1482
1999-07-20,16110,4626,5854,3555,2442
1999-07-27,16825,6000,5379,2765,3326
1999-08-03,21909,10775,7464,2517,3698
1999-08-10,25583,13264,5841,3645,2544
1999-08-17,27878,15685,6341,3932,4430
1999-08-24,31102,18174,7059,4355,6182
1999-08-31,22784,6365,10566,4985,5579
1999-09-07,24130,9425,9982,4503,7017
1999-09-14,29963,11220,9878,5381,9114
1999-09-21,15165,7340,3714,981,3020
1999-09-28,21100,10558,2376,1729,3536
1999-10-05,25172,15510,3028,1082,5015
1999-10-12,20296,8739,3809,1346,7647
1999-10-19,24265,8997,5156,1655,8724
1999-10-26,26490,13651,5969,2546,9830
1999-11-02,27985,14909,6394,3851,11620
1999-11-09,28430,12202,6714,5653,8771
1999-11-16,31028,15485,6205,4885,11889
1999-11-23,32182,17583,6401,5006,12295
1999-11-30,31587,18949,6600,2845,11534
1999-12-07,31096,10884,8160,4269,13850
1999-12-14,32897,11738,5151,5246,14087
1999-12-21,14763,5650,1469,2474,4133
1999-12-28,16395,7677,1852,1944,5448
2000-01-04,13007,1181,3100,3181,2250
2000-01-11,16982,4287,2446,4329,4327
2000-01-18,16859,4056,1583,4657,5368
2000-01-25,18788,6185,2763,3086,6101
2000-02-01,20033,4315,2521,6048,6046
2000-02-08,23329,5734,2910,7770,8194
2000-02-15,26341,5963,4348,8659,8815
2000-02-22,26896,7496,6866,8305,6804
2000-02-29,28309,10668,4615,6107,7116
2000-03-07,32279,14397,6432,5757,10623
2000-03-14,37191,16004,2390,7623,14512
2000-03-21,20284,6631,4769,3618,8514
2000-03-28,23252,2766,2553,5339,9891
2000-04-04,23919,1976,5236,5626,8265
2000-04-11,27607,4277,5614,5933,11988
2000-04-18,29125,4791,5015,5877,13299
2000-04-25,34456,8616,5016,5526,19485
2000-05-02,34727,4874,4241,4403,18481
2000-05-09,35473,5730,5257,5984,19859
2000-05-16,41743,13044,6711,4639,23428
2000-05-23,37471,8682,7968,3569,18214
2000-05-30,38910,11498,6776,5266,20198
2000-06-06,42739,13500,7191,7435,23064
2000-06-13,54140,7969,5843,13190,29021
2000-06-20,20682,3346,881,8945,7149
2000-06-27,26717,4834,586,10384,12352
2000-07-05,32351,7187,0,15584,14286
2000-07-11,31495,6562,1205,15310,15631
2000-07-18,32560,6343,2826,16431,15091
2000-07-25,33666,9587,4836,13295,20652
2000-08-01,40685,9177,10393,18015,18107
2000-08-08,42899,7801,7157,24342,18917
2000-08-15,45497,8426,7108,25186,21091
2000-08-22,49066,9267,9513,28211,20746
2000-08-29,50852,11441,8806,29180,24364
2000-09-05,45938,13223,9000,15387,27034
2000-09-12,60333,17141,10933,20666,31167
2000-09-19,28670,8329,5563,8342,7840
2000-09-26,31350,8217,4583,9954,9343
2000-10-03,38661,11381,6693,15750,14443
2000-10-10,50739,12929,7582,22106,17606
2000-10-17,53424,14597,6030,24026,21797
2000-10-24,52165,16035,2761,22080,21533
2000-10-31,53505,16127,3146,22466,24963
2000-11-07,53714,15662,3847,24324,28552
2000-11-14,69611,27551,7491,27455,40573
2000-11-21,73002,27047,6285,30275,45133
2000-11-28,68996,22892,4232,31269,46899
2000-12-05,79360,30829,6285,30567,56965
2000-12-12,83163,28874,5781,33759,50002
2000-12-19,36592,15252,1838,7711,25605
2000-12-26,49138,26834,2100,4316,38769
2001-01-02,44740,15885,4880,5495,29995
2001-01-09,55152,21845,3383,5786,41915
2001-01-16,58599,19696,7180,6866,41480
2001-01-23,57190,13212,9900,7635,34084
2001-01-30,55021,13884,10898,8625,33251
2001-02-06,61474,15750,15461,13509,34476
2001-02-13,66170,18601,15142,10744,38827
2001-02-20,68787,14220,19798,14188,34959
2001-02-27,79859,18979,23433,16542,42662
2001-03-06,88454,26186,27547,17222,47774
2001-03-13,102236,23550,31038,22616,47436
2001-03-20,45488,8432,14171,9406,20917
2001-03-27,65874,14245,18379,12535,21013
2001-04-03,67377,16424,17596,17002,21215
2001-04-10,85731,20788,15158,11042,36298
2001-04-17,87821,24827,16618,7153,39062
2001-04-24,110678,22506,30145,13575,45162
2001-05-01,107794,22993,33613,12920,34825
2001-05-08,101619,26095,30369,12283,56062
2001-05-15,111389,32385,25154,17882,72571
2001-05-22,113800,35141,31661,22821,66850
2001-05-29,123759,39335,35844,24609,75810
2001-06-05,96112,34942,31286,28176,51611
2001-06-12,119470,37073,41759,40267,49368
2001-06-19,56435,18243,19327,15848,24294
2001-06-26,74995,24915,21992,16199,40392
2001-07-03,79119,25499,25167,21294,44477
2001-07-10,86077,27322,36634,24298,38050
2001-07-17,96995,31231,32086,28554,54711
2001-07-24,107112,35125,41995,35983,51999
2001-07-31,112930,41108,41702,32987,59840
2001-08-07,109117,31698,43934,35462,52443
2001-08-14,121915,48021,51187,32670,59186
2001-08-21,136800,53960,53983,38732,67456
2001-08-28,138399,51484,49546,38751,73523
2001-09-04,155927,63237,56749,41409,84742
2001-09-10,174488,71630,53046,53149,100492
2001-09-18,177547,69293,48704,71573,97414
2001-09-25,96129,22154,15733,16553,40885
2001-10-02,110025,39427,23077,24479,67206
2001-10-09,117524,41407,21867,25003,78235
2001-10-16,143482,56541,29182,29671,97540
2001-10-23,154304,69874,31301,31944,104751
2001-10-30,157790,67299,31270,40043,105313
2001-11-06,201405,55548,35885,45154,145814
2001-11-13,225806,56724,32121,46104,173566
2001-11-20,242846,61169,38290,47046,183345
2001-11-27,246588,66944,43987,48713,182537
2001-12-04,237889,65278,43503,50173,173930
2001-12-11,237729,70148,44996,64588,170946
2001-12-18,199634,76962,41160,69083,130164
2001-12-21,209793,77435,37989,64450,128283
2001-12-28,53715,12560,18042,18251,22316
2002-01-08,75322,8713,28939,42099,31191
2002-01-15,92599,30780,15186,14853,61614
2002-01-22,99650,24642,20091,23476,64833
2002-01-29,99184,28405,30922,26944,50590
2002-02-05,105369,35172,23302,31008,61280
2002-02-12,105947,36745,30908,45175,57380
2002-02-19,123776,46238,33309,41265,73719
2002-02-26,138395,58348,27143,52620,91772
2002-03-05,150610,49660,25899,67025,106041
2002-03-12,175061,53747,22486,77522,91662
2002-03-19,85815,16617,20023,44716,19929
2002-03-26,110806,33215,14943,50178,28867
2002-04-02,132004,39004,27244,65876,33270
