date,oi,nc_long,nc_short,c_long,c_short
2000-08-29,67795,3473,17213,45702,33528
2000-09-05,63791,4785,13557,38971,36346
2000-09-12,68219,2972,14947,46184,36393
2000-09-19,72763,2760,19543,52705,34927
2000-09-26,59723,1590,24485,43650,16787
2000-10-03,78505,3598,38763,58083,17416
2000-10-10,78505,3623,38583,58044,18143
2000-10-17,84011,4022,41327,60928,20611
2000-10-24,82404,3268,41290,58498,21393
2000-10-31,81105,3916,41021,56410,18882
2000-11-07,79094,3480,35075,55523,22917
2000-11-14,79013,3896,33625,54161,23639
2000-11-21,76490,3887,31537,51174,23011
2000-11-28,73411,4021,23202,47482,27451
2000-12-05,71774,3490,21927,47021,26730
2000-12-12,75994,3399,18260,45214,32652
2000-12-19,69859,3637,17283,43058,34894
2000-12-26,55410,3950,15480,29371,26408
2001-01-02,52655,5119,8942,23434,31986
2001-01-09,57409,9894,7873,23062,38032
2001-01-16,57391,11507,7533,23691,38416
2001-01-23,52651,12107,2190,20356,36988
2001-01-30,50284,10381,3157,20180,35659
2001-02-06,51675,10988,2336,19150,36723
2001-02-13,57201,9971,9946,27843,30848
2001-02-20,61308,8476,12774,34033,31553
2001-02-27,69634,7853,20802,41559,30065
2001-03-06,70550,8966,22446,40714,26985
2001-03-13,80110,10414,23833,46287,34822
2001-03-20,78051,9314,23988,49631,33561
2001-03-27,65818,3470,24502,43010,19990
2001-04-03,66276,3959,23323,43111,22109
2001-04-10,64143,4069,19091,39717,24036
2001-04-17,63369,3101,18703,40347,23997
2001-04-24,64298,3543,17060,41293,28881
2001-05-01,63144,4485,16641,37975,29663
2001-05-08,65893,3986,17120,37072,32003
2001-05-15,65681,2979,17833,39611,31863
2001-05-22,64565,4986,16488,35337,32166
2001-05-29,65466,4303,18345,38560,29761
2001-06-05,64530,7287,18816,31609,28994
2001-06-12,70123,7532,13041,34217,39450
2001-06-19,69704,6765,11575,33022,42577
2001-06-26,53314,7771,11178,17216,31166
2001-07-03,53420,7625,5501,18920,35354
2001-07-10,53021,7197,5725,18523,35175
2001-07-17,54950,5565,9728,24551,32204
2001-07-24,57116,3957,16148,29434,27786
2001-07-31,51491,4673,6048,24251,31680
2001-08-07,52698,4322,5882,24705,33150
2001-08-14,51988,4362,6013,31870,39694
2001-08-21,57084,3187,10321,40267,40692
2001-08-28,58016,3946,10821,31358,31101
2001-09-04,65580,3533,19060,38129,23387
2001-09-10,79523,3124,28391,48103,23650
2001-09-18,83693,2896,29474,57437,29084
2001-09-25,67827,3279,31216,43040,14788
2001-10-02,73001,3386,33725,46287,17679
2001-10-09,72186,4092,24381,44940,24991
2001-10-16,68069,5300,17918,38938,28970
2001-10-23,70752,3210,23014,43143,24768
2001-10-30,72414,2629,23202,44879,25031
2001-11-06,78392,3330,29762,50904,22518
2001-11-13,83277,3353,31442,55415,23609
2001-11-20,83231,3288,28663,55412,29289
2001-11-27,87310,3288,29960,59840,31474
2001-12-04,74823,5272,13242,43125,38386
2001-12-11,77469,4954,12748,44464,38768
2001-12-18,75039,6470,11370,41276,44599
2001-12-21,51055,5691,11782,23218,20915
2001-12-28,59460,4463,19064,30066,19143
2002-01-08,61485,4934,20267,31607,16877
2002-01-15,67456,5816,21261,33848,21095
2002-01-22,76458,6459,28504,43740,20876
2002-01-29,72933,5473,22637,41773,23837
2002-02-05,68040,6294,21720,38310,26222
2002-02-12,70779,6825,20421,38240,29774
2002-02-19,71389,9420,18758,37235,32605
2002-02-26,80851,7508,27468,44433,28193
2002-03-05,71722,8231,18325,35304,29626
2002-03-12,76124,11215,13315,35214,41851
2002-03-19,76366,11431,13722,36472,44232
2002-03-26,62741,8954,13510,27805,32909
2002-04-02,65664,6936,19422,31650,31749
