date,oi,nc_long,nc_short,c_long,c_short
2000-08-29,77923,6943,19918,52015,38251
2000-09-05,71820,5476,12578,45378,41178
2000-09-12,92390,14416,8082,50447,56710
2000-09-19,38431,3734,7566,22851,15713
2000-09-26,43973,5306,9532,28815,14400
2000-10-03,54499,2244,16011,39774,13557
2000-10-10,66105,977,31065,54026,12019
2000-10-17,65298,965,30292,55031,10631
2000-10-24,65348,981,28792,53710,12067
2000-10-31,68898,1147,28226,57576,14207
2000-11-07,59077,615,24492,46917,17473
2000-11-14,59507,1315,23885,46929,15224
2000-11-21,77499,986,36058,66966,15544
2000-11-28,77425,866,34196,65953,17140
2000-12-05,82427,853,33302,71383,18995
2000-12-12,130047,110,41806,113569,49976
2000-12-19,87563,788,39021,78480,19707
2000-12-26,90803,1634,44254,80867,19456
2001-01-02,91258,1613,43032,81618,20802
2001-01-09,91091,1550,41688,80969,21214
2001-01-16,90061,1877,35747,76620,25613
2001-01-23,91368,4611,33823,76864,29273
2001-01-30,87420,1606,26806,73989,34112
2001-02-06,92632,1829,27865,77974,39078
2001-02-13,90964,1484,28958,77697,35840
2001-02-20,89673,682,27742,78101,36748
2001-02-27,89216,849,28386,77052,35884
2001-03-06,98574,922,32429,86148,34559
2001-03-13,123971,23034,41341,88319,49978
2001-03-20,103349,36675,37256,57012,33016
2001-03-27,99717,33952,30465,54155,38713
2001-04-03,106688,34750,32999,60655,42649
2001-04-10,105515,34121,32200,61076,41424
2001-04-17,90864,2292,27878,77384,32608
2001-04-24,87870,3775,27235,73978,37526
2001-05-01,86456,21103,26816,53583,37402
2001-05-08,90252,26696,29615,52044,39857
2001-05-15,92328,26429,28744,55737,39129
2001-05-22,97736,2531,29579,74319,33995
2001-05-29,87280,6661,16825,65411,53133
2001-06-05,93638,16370,11107,58896,64360
2001-06-12,97354,16507,13792,61207,56349
2001-06-19,56263,4703,20569,42787,11700
2001-06-26,62444,2708,27294,49900,8559
2001-07-03,72009,2294,34674,59361,9138
2001-07-10,95443,17020,41110,65964,23490
2001-07-17,102545,26985,36939,63962,35182
2001-07-24,100240,26014,27243,62095,43940
2001-07-31,105945,26464,30899,66721,46118
2001-08-07,105044,26803,25375,62004,52509
2001-08-14,101855,26620,15062,62214,73864
2001-08-21,109786,40409,9798,55646,93793
2001-08-28,111974,40057,9877,45495,80293
2001-09-04,115883,40762,8251,45803,85594
2001-09-10,112122,32713,9220,53113,74036
2001-09-18,86678,37787,9348,30738,63788
2001-09-25,90169,39909,9544,29273,66812
2001-10-02,75174,22438,8929,38960,48884
2001-10-09,71605,20983,10715,37987,42434
2001-10-16,74649,15409,16523,48699,33312
2001-10-23,75643,3588,25372,63491,21453
2001-10-30,81807,3817,31162,69796,21911
2001-11-06,91333,14379,28293,66183,36551
2001-11-13,92819,19203,23434,62532,45595
2001-11-20,102491,13491,32377,73580,36446
2001-11-27,109170,18647,40277,77600,37963
2001-12-04,119948,29792,38210,77539,50229
2001-12-11,153340,36798,41056,99520,71288
2001-12-18,126848,37020,38955,82669,49620
2001-12-21,129864,37531,41852,83084,53221
2001-12-28,130768,39575,38709,80419,55998
2002-01-08,135340,38443,41973,84030,57190
2002-01-15,133175,36543,39146,83608,50279
2002-01-22,130458,27336,41737,85756,46246
2002-01-29,126984,31724,38067,83247,53404
2002-02-05,129271,31592,35608,85296,57277
2002-02-12,115316,22996,30777,78664,51339
2002-02-19,122120,23244,35576,83910,53367
2002-02-26,127692,23130,42942,90724,51540
2002-03-05,104976,13717,27363,75362,47532
2002-03-12,110848,20510,13612,68149,75511
2002-03-19,71074,13812,14939,43504,38453
2002-03-26,72383,12941,17301,48069,35276
2002-04-02,78204,14174,23431,56634,33165
2002-04-09,69913,7488,18329,52883,33984
2002-04-16,71886,8644,17395,53539,34725
2002-04-23,67954,12647,13373,41584,36436
2002-04-30,82621,16757,11103,48250,51011
2002-05-07,84031,16872,10358,48007,56167
2002-05-14,83322,14583,11769,52229,51578
2002-05-21,95905,21800,7938,51295,68014
2002-05-28,94948,20481,8307,51083,70296
2002-06-04,97625,17715,9340,53113,71677
2002-06-11,105123,17774,11699,57985,67721
2002-06-18,68634,19424,9955,28499,44060
2002-06-25,75487,21992,11383,28762,49893
2002-07-02,74473,19786,10740,29992,50095
2002-07-09,78069,20799,10599,30341,54898
2002-07-16,78550,21661,10440,30212,54062
2002-07-23,76478,20262,10399,31525,53781
2002-07-30,73947,14452,10600,37369,48706
2002-08-06,71254,12340,11634,38603,44956
2002-08-13,70948,13237,9573,37857,48228
2002-08-20,70974,12496,9084,37596,49381
2002-08-27,72646,15007,10656,35846,50081
2002-09-03,77046,17853,11212,35999,53578
2002-09-10,102073,14997,11777,66802,74349
2002-09-17,68295,1996,18370,52942,27220
2002-09-24,70469,1826,19906,57516,25507
2002-10-01,71055,2586,17899,57426,27128
2002-10-08,82495,9841,23082,61735,31290
2002-10-15,80287,8606,21436,61414,31389
2002-10-22,85343,8768,23702,66165,30174
2002-10-29,79469,13185,21449,52101,34902
2002-11-05,75258,12412,17108,48471,36954
2002-11-12,77422,14064,14491,41580,44934
2002-11-19,75092,12867,15758,45771,37575
2002-11-26,71861,11744,16208,47494,38202
2002-12-03,78433,9754,19657,57574,33578
2002-12-10,119680,8206,20416,99299,73325
2002-12-17,87176,11832,12538,62454,52066
2002-12-23,92767,16976,13169,59941,59826
2002-12-31,119681,40666,12532,56491,91282
2003-01-07,116555,39488,12261,59421,85958
2003-01-14,120396,44399,11455,49339,91697
2003-01-21,119530,44463,11170,51963,88915
2003-01-28,108851,36528,10918,52997,79960
2003-02-04,91248,19681,14087,54717,52104
2003-02-11,110275,30376,19667,65096,59904
2003-02-18,113853,37746,19313,58565,69131
2003-02-25,118365,45047,9293,51661,89891
2003-03-04,116621,40722,8690,51335,90841
2003-03-11,133098,42400,6181,60724,103505
2003-03-18,82659,30389,7071,33010,58145
2003-03-25,84457,10780,23763,63468,36695
2003-04-01,80136,12485,16388,54463,43455
2003-04-08,75088,11031,16665,53069,39519
2003-04-15,79252,9937,19354,59144,37337
2003-04-22,83959,14525,18708,58741,42580
2003-04-29,86346,9641,19821,64572,43129
2003-05-06,99924,19853,17185,58377,60299
2003-05-13,114134,38488,9026,48552,82010
2003-05-20,111964,37884,8114,45972,80487
2003-05-27,109843,36758,7315,45387,76528
2003-06-03,98513,19933,12373,61304,56170
2003-06-10,121421,22835,11079,78389,73398
2003-06-17,91916,24463,13601,49945,56963
2003-06-24,98292,25897,8761,54124,68080
2003-07-01,104184,8768,22165,79662,49337
2003-07-08,104434,13642,13534,75970,63341
2003-07-15,113969,23702,7877,67833,85119
2003-07-22,104161,16536,9744,68373,70702
2003-07-29,103252,18580,12272,68142,65307
2003-08-05,125420,10136,46435,102290,46435
2003-08-12,115581,12940,22880,87270,65228
2003-08-19,118044,14557,23909,64180,45358
2003-08-26,131738,22148,8916,83348,96859
2003-09-02,169584,53464,6509,81558,138970
2003-09-09,171788,59532,6687,74834,138974
2003-09-16,126661,60153,5506,34678,105030
2003-09-23,135500,61520,7972,37854,106839
2003-09-30,144431,69657,28792,38358,96148
2003-10-07,159009,76438,26713,42205,110396
2003-10-14,154276,71679,32470,43437,99358
2003-10-21,151390,69794,21490,43485,107894
2003-10-28,152880,71462,16552,43278,113848
2003-11-04,135896,56179,5835,48770,105901
2003-11-11,143363,63585,5788,45313,115745
2003-11-18,143468,59678,5916,47691,117852
2003-11-25,133380,47773,5233,52832,107929
2003-12-02,142600,53739,7553,54016,114664
2003-12-09,170513,62513,5777,66696,136954
2003-12-16,139376,62421,4185,43063,118798
2003-12-22,131080,52320,4185,44767,110677
2003-12-30,138423,51851,4187,51686,116941
2004-01-06,156255,62753,5919,53883,134417
2004-01-13,159233,65248,4646,55227,138539
2004-01-20,152326,56801,5093,59063,128517
2004-01-27,160713,63946,5954,57941,139191
2004-02-03,169516,70199,5700,60888,146770
2004-02-10,160443,64595,5965,59887,135673
2004-02-17,159603,62030,6832,60003,135501
2004-02-24,142090,16202,28383,96978,92561
2004-03-02,153545,15719,38031,109142,88068
2004-03-09,156926,7779,42295,118435,88943
2004-03-16,89476,6974,38413,56694,25937
