date,oi,nc_long,nc_short,c_long,c_short
1986-01-15,82722,11687,7480,34323,57215
1986-01-31,81949,10702,5664,31867,58330
1986-02-14,82008,9113,7091,32173,53506
1986-02-28,79008,10355,10555,28492,43021
1986-03-14,74066,8740,7771,25972,43243
1986-03-31,78406,8990,10443,27390,43253
1986-04-15,79567,12005,8955,29117,46343
1986-04-30,73868,7526,7486,26849,41377
1986-05-15,73890,7598,8493,28687,42068
1986-05-30,75216,10377,7920,27548,44963
1986-06-13,74855,12768,7637,26198,48111
1986-06-30,64478,5425,6399,23455,37390
1986-07-15,65294,4965,7341,25286,39989
1986-07-31,71238,7086,6131,28170,47415
1986-08-15,77588,11302,3289,28769,57473
1986-08-29,67835,9953,3424,22803,47385
1986-09-15,87271,16365,4913,30527,60532
1986-09-30,73895,12097,4808,24420,50017
1986-10-15,84548,12235,4559,34310,59637
1986-10-31,89998,13490,4438,35952,64694
1986-11-14,98214,13833,5501,37460,68252
1986-11-28,90952,8485,3951,37768,62441
1986-12-15,89252,8741,3326,37890,62479
1986-12-31,89822,8638,4693,38363,62183
1987-01-15,93470,9986,3672,40135,68968
1987-01-30,95672,10122,3729,42118,70880
1987-02-13,94609,8984,4243,46162,69150
1987-02-27,89438,9873,6561,42742,66283
1987-03-13,92735,12775,5539,38289,65609
1987-03-31,100751,19625,6973,31384,69890
1987-04-15,111131,20923,8692,34507,69555
1987-04-30,108882,15262,6519,36283,63208
1987-05-15,99902,19916,6627,33818,64167
1987-05-29,93803,11438,6578,32023,58455
1987-06-15,92473,13384,3864,32380,61055
1987-06-30,80745,13283,4697,27576,51143
1987-07-15,83105,15011,5487,28036,53759
1987-07-31,88277,17923,5983,33269,64885
1987-08-14,86311,12014,5684,36426,60682
1987-08-31,82360,9894,8965,33997,57011
1987-09-15,80424,12743,7153,31096,58153
1987-09-30,78573,9740,5956,34166,57225
1987-10-15,86803,10543,5206,36672,64754
1987-10-30,82890,9794,6055,36242,55567
1987-11-13,78897,8154,5029,34976,53524
1987-11-30,71169,7029,4308,30265,48132
1987-12-15,71447,8767,4567,29126,48025
1987-12-31,74233,7244,4499,35230,50738
1988-01-15,77166,8337,4852,34665,52959
1988-01-29,79470,7767,6428,37526,52592
1988-02-12,80621,6719,7385,36660,52753
1988-02-29,71002,9124,6019,30107,45706
1988-03-15,67760,8042,4761,27882,46009
1988-03-31,68708,14472,4154,19686,50555
1988-04-15,65254,8005,5184,19605,43657
1988-04-29,62356,8187,4149,22823,42934
1988-05-13,69826,9568,4984,26663,52347
1988-05-31,71083,11371,4968,24909,53366
1988-06-15,81946,15304,5065,26759,61343
1988-06-30,79431,12945,4251,28918,58325
1988-07-15,86951,21107,5705,25284,66391
1988-07-29,83956,13803,5459,27637,63111
1988-08-15,81975,9494,5956,28994,59128
1988-08-31,76870,7866,5179,27288,55110
1988-09-15,84791,8573,5296,34266,63710
1988-09-30,81903,7371,5538,31312,55899
1988-10-14,86088,10886,5651,29384,61291
