date,oi,nc_long,nc_short,c_long,c_short
1986-01-15,148186,18589,7706,80962,89990
1986-01-31,144149,15364,9303,82262,85250
1986-02-14,139995,5457,12229,94830,76735
1986-02-28,143752,7991,12222,94126,76200
1986-03-14,142868,12637,11015,85925,78653
1986-03-31,136568,9817,11406,88897,67171
1986-04-15,138825,6805,20416,99640,67997
1986-04-30,132088,8159,10519,88769,72810
1986-05-15,132147,4649,10375,94944,71660
1986-05-30,115038,4982,13683,78662,56902
1986-06-13,115960,11657,10839,69558,66942
1986-06-30,120954,5361,13631,88561,62551
1986-07-15,121925,6735,11983,86078,67675
1986-07-31,125988,18617,9540,69897,71940
1986-08-15,134903,23234,10589,67333,82453
1986-08-29,136959,23229,10291,69541,84510
1986-09-15,149809,24807,10423,69388,95797
1986-09-30,136574,22421,7840,57513,85239
1986-10-15,147411,21274,10239,70584,89512
1986-10-31,146778,12673,9373,79221,90456
1986-11-14,150800,15816,11905,86136,94132
1986-11-28,131679,10148,8849,79143,81278
1986-12-15,134005,13089,11027,76757,80007
1986-12-31,140744,9405,8347,81948,86647
1987-01-15,139318,14063,8147,68344,87902
1987-01-30,130078,13453,9022,62992,78194
1987-02-13,138130,7705,14024,81749,77255
1987-02-27,140016,7349,12273,81851,85616
1987-03-13,145109,10654,10265,79189,87238
1987-03-31,156832,18464,10076,74906,104113
1987-04-15,171395,27260,9006,67566,111648
1987-04-30,175437,24684,12933,64600,104305
1987-05-15,170819,32997,6294,55854,126196
1987-05-29,150964,24267,8705,56420,86818
1987-06-15,149219,20380,11899,57458,83188
1987-06-30,146960,15476,11621,63817,78120
1987-07-15,146076,16101,7483,60840,85807
1987-07-31,150523,23945,6857,60306,102966
1987-08-14,150693,18612,10402,63626,95033
1987-08-31,148815,16503,15979,69761,86279
1987-09-15,146895,16196,12249,70143,93238
1987-09-30,142634,17083,9981,64861,86977
1987-10-15,143498,19848,7101,61354,91228
1987-10-30,133422,15243,9416,65767,80209
1987-11-13,132803,10867,9427,77616,76183
1987-11-30,152206,24270,8453,72663,92561
1987-12-15,158831,20912,9291,81462,96123
1987-12-31,150106,14523,9354,85947,89586
1988-01-15,146350,13275,9794,82475,80747
1988-01-29,146192,9803,19037,93908,69580
1988-02-12,150569,3759,26630,106136,69098
1988-02-29,158223,4067,29807,90624,74906
1988-03-15,161792,6054,23501,92072,82814
1988-03-31,148310,5401,24023,79820,75633
1988-04-15,156961,5491,24441,87218,82172
1988-04-29,154184,2580,19679,117459,84352
1988-05-13,153681,4835,13402,113514,86621
1988-05-31,146461,8320,11067,89780,82730
1988-06-15,142022,7185,10455,86033,79009
1988-06-30,151645,4658,23026,101902,71375
1988-07-15,149809,8779,22871,96018,71106
1988-07-29,139382,3850,18769,99489,68930
1988-08-15,139252,4761,18548,96217,72158
1988-08-31,142631,4905,18415,100622,76063
1988-09-15,155243,3567,27502,109460,66481
1988-09-30,156546,4427,33064,113359,73347
1988-10-14,159467,4517,33787,113352,76238
1988-10-31,160894,4381,31358,118197,79984
1988-11-15,148897,8125,15896,101825,84867
1988-11-30,148286,5517,17263,106343,82705
1988-12-15,145811,5445,17648,107723,79027
1988-12-30,152731,6837,21800,112108,78299
1989-01-13,163937,5233,29394,118240,73501
1989-01-31,170221,5009,37911,125090,67239
1989-02-15,168943,5828,32830,120632,75634
1989-02-28,165774,4394,32432,116638,72416
1989-03-15,165615,6347,25675,108780,81707
1989-03-31,163649,3422,33947,120884,71844
1989-04-14,158340,6079,29001,106915,69206
1989-04-28,168488,2448,32920,121679,70134
1989-05-15,188114,6010,30245,136797,87394
1989-05-31,179513,3414,28885,139249,86952
1989-06-15,163699,5891,24023,121475,85527
1989-06-30,157858,8381,21462,111938,86700
1989-07-14,154241,7662,19453,105367,81687
1989-07-31,148279,3696,18587,107310,71153
1989-08-15,147488,6197,20394,104463,75201
1989-08-31,156595,3477,28851,117348,71879
1989-09-15,154493,10113,23924,104836,73183
1989-09-29,147468,5134,16802,97489,82389
1989-10-13,143681,3906,20467,103066,75001
1989-10-31,151142,15567,12768,84825,90281
1989-11-15,153379,22440,9204,71252,95573
1989-11-30,147759,28985,11049,58418,89124
1989-12-15,156019,30438,8513,62011,97361
1989-12-29,150931,22982,8581,74736,91444
1990-01-15,149393,21782,5238,65795,93951
1990-01-31,131994,13694,7321,58218,76338
1990-02-15,130564,20315,5565,53767,76179
1990-02-28,121920,11965,8989,57161,63372
1990-03-15,132871,13967,18303,65716,66537
1990-03-30,116812,9414,21463,66504,50523
1990-04-12,118177,7110,21181,73591,56269
1990-04-30,123601,6364,20632,80985,59142
1990-05-15,118492,5297,19403,75378,52444
1990-05-31,104625,5233,18710,63869,44851
1990-06-15,117247,4110,26452,80735,46810
1990-06-29,112142,4316,20190,73148,50545
1990-07-13,107275,5878,15214,64335,52652
1990-07-31,98923,8016,5875,50139,56633
1990-08-15,125895,23830,7522,43347,75837
1990-08-31,123147,20892,10597,50615,74660
1990-09-14,113077,13775,7718,55320,66701
1990-09-28,116620,24684,3187,42594,81102
1990-10-15,116656,17794,9063,56851,63409
1990-10-31,114534,10974,9392,61123,60718
1990-11-15,111194,5893,8204,66635,61633
1990-11-30,101946,7264,6135,58680,59946
1990-12-14,111586,4781,10532,75789,60314
1990-12-31,107610,9228,4426,60179,70360
1991-01-15,118173,17648,6122,53902,78605
1991-01-31,93496,2044,14302,62619,44343
1991-02-15,95750,2515,16880,66286,42163
1991-02-28,98025,1612,16447,68140,42842
1991-03-15,98708,3111,14868,64098,48855
1991-03-28,102541,1724,21208,72228,39820
1991-04-15,97290,4002,18163,65132,43436
1991-04-30,108217,4300,25710,76391,44499
1991-05-15,99903,6949,17450,63768,49088
1991-05-31,91485,8125,17440,54483,44089
1991-06-14,91953,19823,11956,34066,52219
1991-06-28,87349,18540,9247,34622,48041
1991-07-15,95164,19663,9095,36268,54405
1991-07-31,87490,12649,15454,42988,36950
1991-08-15,101756,12421,27321,62082,33916
1991-08-30,107993,7227,31854,73497,33794
1991-09-16,107449,7736,29869,70495,36166
1991-09-30,97904,9403,20755,55772,40650
1991-10-15,92152,11464,9834,44529,48658
1991-10-31,100311,13595,10032,47307,54327
1991-11-15,103034,10191,13131,56116,50752
1991-11-29,115496,32242,4002,34930,75660
1991-12-13,103659,16792,6313,46254,61304
1991-12-31,114144,9018,13620,70346,57166
1992-01-15,104052,11190,15685,60556,48784
1992-01-31,102940,13351,12438,54833,53562
1992-02-14,100473,13917,13429,52162,50194
1992-02-28,102931,12912,19139,55362,47033
1992-03-13,113645,11724,26279,62242,48439
1992-03-31,103658,10876,23488,60693,42566
1992-04-15,109312,4260,29372,72591,42019
1992-04-30,113724,9025,27004,68658,46656
1992-05-15,109747,10494,18809,61619,52312
1992-05-29,102788,6295,22164,61668,45653
1992-06-15,103229,16252,9864,44841,60652
1992-06-30,91162,13062,9401,36761,51484
1992-07-15,111763,29782,5632,31806,74286
1992-07-31,112384,32345,6932,32110,76128
1992-08-14,102784,6668,19887,60889,44540
1992-08-31,99349,6194,19845,60763,44304
1992-09-15,100717,5167,13592,59957,53290
1992-09-30,99191,6206,8706,56577,56161
1992-10-06,101946,6573,8550,55250,59291
1992-10-13,101717,5552,10250,63340,56536
1992-10-20,99420,3774,12210,64490,52513
1992-10-27,108776,3248,18553,74709,51524
1992-11-03,106734,3350,20778,72969,49814
1992-11-10,116747,5307,27347,76352,50427
1992-11-17,112935,4157,25377,72936,47126
1992-11-24,108774,3396,23825,70339,46797
1992-12-01,98384,2612,24775,64665,39077
1992-12-08,96886,3555,22253,59900,40700
1992-12-15,99913,3231,22110,63847,43574
1992-12-22,103836,6638,21541,63632,46547
1992-12-29,107682,5600,24445,70347,47847
1993-01-05,113329,5051,26772,76298,48961
1993-01-12,113657,3937,31804,78498,43962
1993-01-19,115828,3271,31316,79009,45458
1993-01-26,109548,3778,25046,71146,46785
1993-02-02,104396,4374,22919,69104,45450
1993-02-09,113003,4978,23564,77411,51955
1993-02-16,111624,6559,17211,66797,62861
1993-02-23,108001,6419,15221,66329,58746
1993-03-02,109864,5831,19213,71241,58300
1993-03-09,118364,5010,29273,80433,49849
1993-03-16,118169,10013,25153,73169,53417
1993-03-23,112481,16471,14010,52355,64122
1993-03-30,127614,32032,9314,45502,86772
1993-04-06,134202,44080,3972,40345,100146
1993-04-13,134188,44184,3174,41368,102372
1993-04-20,137431,43522,7029,43678,101029
1993-04-27,156996,57655,7490,49008,121077
1993-05-04,164403,65914,9316,41121,121269
1993-05-11,167088,65778,11210,41612,123213
1993-05-18,178417,73031,5758,38596,137038
1993-05-25,174530,61808,8643,41338,128913
1993-06-01,175145,61163,10146,46439,126824
1993-06-08,171089,56205,9226,49340,123911
1993-06-15,164461,49164,10595,56725,114096
1993-06-22,167368,54439,11130,53056,114832
1993-06-29,174697,60965,12036,47144,123614
1993-07-06,199471,73775,17138,48718,138294
1993-07-13,204057,76537,13336,49761,143151
1993-07-20,204642,74337,9855,51185,146683
1993-07-27,197704,69330,10481,49019,140657
1993-08-03,206869,82076,12479,37142,150213
1993-08-10,176847,55725,13359,51696,116081
1993-08-17,172814,41868,12872,60168,112831
1993-08-24,172556,44404,11738,62404,118570
1993-08-31,175913,48894,12805,63290,119754
1993-09-07,179032,45493,18741,78805,114683
1993-09-14,171512,38360,17840,80158,107192
1993-09-21,159931,32735,16165,75554,103273
1993-09-28,154198,31272,15137,72225,100288
1993-10-05,151216,29815,16588,73281,95448
1993-10-12,151204,36607,10716,60068,103903
1993-10-19,149633,37249,9111,57287,106630
1993-10-26,154785,41405,10361,56961,108815
1993-11-02,146843,37080,11946,56427,97575
1993-11-09,154670,44920,13504,48124,104921
1993-11-16,151618,41735,6983,45116,109067
1993-11-23,154281,42924,7011,45351,108417
1993-11-30,147175,35713,11162,54605,97414
1993-12-07,142524,40747,8594,41318,98989
1993-12-14,156428,52864,7980,37153,110796
1993-12-21,159335,53916,8322,38474,112882
1993-12-28,159847,54009,8224,40212,113683
1994-01-04,170497,59294,9532,31550,115035
1994-01-11,157271,50144,8811,36364,99590
1994-01-18,159083,51621,6893,32632,109092
1994-01-25,147945,38287,9784,45607,97420
1994-02-01,134302,35258,14480,42783,82628
1994-02-08,136106,34704,14233,49322,86181
1994-02-15,140211,34398,13788,52011,89918
1994-02-22,139965,30012,17832,55220,85071
1994-03-01,148260,33205,25729,59637,81717
1994-03-08,146116,28210,27146,65989,79981
1994-03-15,142387,35954,15216,49538,91010
1994-03-22,147001,37614,15374,47872,96175
1994-03-29,147441,39949,16234,44989,98182
1994-04-05,138683,35281,17876,42664,89039
1994-04-12,140190,30231,27193,53837,76023
1994-04-19,150065,25666,42487,68830,64190
1994-04-26,149682,21360,48075,74124,61806
1994-05-03,150507,23855,49230,74892,61492
1994-05-10,142039,25958,34299,63828,71306
1994-05-17,144784,30099,32281,58995,75802
1994-05-24,154408,37509,29218,60829,89041
1994-05-31,148143,45219,23705,53859,92327
1994-06-07,136615,31353,25920,58939,79078
1994-06-14,138822,33843,23618,55774,81599
1994-06-21,161383,55391,21845,45752,107129
1994-06-28,148851,39328,23394,51710,89550
1994-07-05,146005,36631,23603,51644,87620
1994-07-12,145019,32962,23307,56076,87407
1994-07-19,153041,33006,22995,68665,94952
1994-07-26,149109,34041,22650,62897,92908
1994-08-02,145660,33034,37935,65127,66527
1994-08-09,155058,32524,46074,73031,65591
1994-08-16,160298,27649,45377,79665,64758
1994-08-23,156684,30405,38306,75417,73616
1994-08-30,156676,38628,23584,65755,95446
1994-09-06,157364,40107,21267,62716,99828
1994-09-13,159123,42907,11099,57174,109582
1994-09-20,174646,58124,11079,53595,129859
1994-09-27,184697,66886,8688,53032,137926
1994-10-04,188054,66676,9236,56367,141031
1994-10-11,164252,38255,10971,64796,111155
1994-10-18,156161,32979,15993,63875,99679
1994-10-25,157554,35388,13717,64591,104776
1994-11-01,163943,30039,37703,79368,81999
1994-11-08,166608,30702,41118,79173,80941
1994-11-15,166090,26522,41122,80445,77390
1994-11-22,170691,23152,37251,82960,75907
1994-11-29,172690,19279,39679,94165,78915
1994-12-06,180619,14632,59710,112946,64192
1994-12-13,179346,14093,60972,109896,61920
1994-12-20,175686,14095,54202,104448,66311
1994-12-27,179759,13482,53710,110098,71461
1995-01-03,178399,13004,47070,107348,75580
1995-01-10,196271,14517,64096,130319,73773
1995-01-17,188429,15750,53584,121211,80263
1995-01-24,175858,16319,38233,109250,84863
1995-01-31,171777,14708,45288,110145,76920
1995-02-07,172009,15943,47046,107861,71652
1995-02-14,171401,15637,44891,108789,75137
1995-02-21,169377,15597,39363,101870,80903
1995-02-28,174285,14603,43836,110501,81075
1995-03-07,168151,15813,25347,92777,94106
1995-03-14,167938,19918,12967,88890,107100
1995-03-21,168138,15352,11719,93215,107852
1995-03-28,162245,12659,11818,89743,105159
1995-04-04,187495,39871,6180,83346,138602
1995-04-11,191233,43265,6820,83303,144141
1995-04-18,198168,44945,6259,85055,151666
1995-04-25,196084,42702,6829,86275,148863
1995-05-02,177178,25653,6962,91720,128869
1995-05-09,170206,12615,13750,103960,111444
1995-05-16,173860,13179,19220,108613,107049
1995-05-23,181812,11361,21878,117613,110597
1995-05-30,159456,11716,17770,99640,98694
1995-06-06,170887,13907,18187,109786,110995
1995-06-13,164848,17242,12814,102130,115450
1995-06-20,183209,33046,6879,103006,141191
1995-06-27,177052,29025,7584,104276,136051
1995-07-03,175928,18389,21962,120041,117925
1995-07-11,184850,14673,26780,129634,118300
1995-07-18,171900,20360,12480,107914,121954
1995-07-25,168448,16627,14624,108254,112565
1995-08-01,170099,13084,40233,117679,87760
1995-08-08,177811,15272,46262,117389,86027
1995-08-15,173296,14838,32053,114219,101377
1995-08-22,175852,12195,45313,121716,90693
1995-08-29,177422,11333,47660,122962,88188
1995-09-05,183988,12639,53989,126514,83849
1995-09-12,186741,15444,44478,122310,96028
1995-09-19,188070,16915,38672,121328,105347
1995-09-26,184643,14513,41360,124246,101213
1995-10-03,180193,13167,44756,123498,92411
1995-10-10,180595,15392,40580,119805,99354
1995-10-17,181415,13493,41915,123875,99061
1995-10-24,191143,13266,54685,134142,93322
1995-10-31,192942,14314,52940,134532,96123
1995-11-07,187463,15493,41697,120337,100476
1995-11-14,172130,23423,15186,96779,118017
1995-11-21,155570,17247,14347,88430,102092
1995-11-28,150937,14863,17285,84850,89721
1995-12-05,139049,15236,15528,76282,86287
1995-12-12,144601,24462,13377,69524,95566
1995-12-19,142709,16148,13121,76641,93422
1995-12-26,141213,15493,13233,75655,92325
1996-01-02,148656,22223,11829,73546,99829
1996-01-09,196205,56064,6413,75052,147039
1996-01-16,213033,64825,6689,79728,165217
1996-01-23,226823,72631,3289,78002,176451
1996-01-30,223800,73978,6284,77403,171610
1996-02-06,235728,72958,9113,89164,183472
1996-02-13,224779,55477,6884,95235,174281
1996-02-20,221187,49123,8013,100192,171978
1996-02-27,220205,44106,5830,102754,175501
1996-03-05,206708,32146,9856,100702,152643
1996-03-12,208236,34232,9423,98394,156826
1996-03-19,197708,29171,12107,97546,147751
1996-03-26,201147,39469,7768,84317,154441
1996-04-02,189385,36397,11592,88576,140144
1996-04-09,202031,42220,12257,92202,149859
1996-04-16,201839,24271,17681,109777,138722
1996-04-23,203351,24144,23597,114426,137205
1996-04-30,206658,24448,25486,115145,138926
1996-05-07,201442,25875,21051,104407,137787
1996-05-14,205744,23187,28223,112867,135835
1996-05-21,205874,23277,34180,115820,127772
1996-05-28,202685,23843,31809,109750,126013
1996-06-04,183865,25230,37997,97804,103709
1996-06-11,189544,16825,53384,114523,92795
1996-06-18,192486,18772,50728,117940,98312
1996-06-25,194460,18980,49010,118840,99091
1996-07-02,196152,13499,52310,126988,95449
1996-07-09,197471,13856,49630,126504,99214
1996-07-16,187816,10183,42189,117518,97101
1996-07-23,176128,10760,38907,106893,89040
1996-07-30,169384,11780,35384,105049,91351
1996-08-06,158371,14155,17964,89608,101842
1996-08-13,160705,13969,17399,90375,104334
1996-08-20,157653,12948,19352,90037,99636
1996-08-27,160819,14313,16841,90764,105725
1996-09-03,162775,10839,27442,95941,93677
1996-09-10,186183,10988,58020,120065,83328
1996-09-17,191988,11628,63874,126902,82889
1996-09-24,189340,9958,65772,128476,78937
1996-10-01,197398,10856,69120,139012,82577
1996-10-08,193843,12001,66246,133689,82330
1996-10-15,196753,14657,65430,132953,88501
1996-10-22,187813,12240,48255,122605,95927
1996-10-29,187475,10169,54543,125555,88769
1996-11-05,193964,10481,64187,134149,83834
1996-11-12,189454,13614,53794,124540,90543
1996-11-19,175954,10143,50202,113842,81820
1996-11-26,191221,10662,65255,133250,81260
1996-12-03,188166,11865,65840,129083,78002
1996-12-10,185516,13689,51181,124975,89990
1996-12-17,185415,12219,49246,126060,91688
1996-12-24,186187,11874,49415,129300,92681
1996-12-31,189805,11848,53773,132509,89076
