month,USD,EUR,JPY,GBP,AUD,CAD,CHF,HKD
2003-01,1.25,2.75,,4,4.75,2.75,0.75,2.75
2003-02,1.25,2.75,,3.75,4.75,2.75,0.75,2.75
2003-03,1.25,2.5,,3.75,4.75,3,0.375,2.75
2003-04,1.25,2.5,,3.75,4.75,3.25,0.375,2.75
2003-05,1.25,2.5,,3.75,4.75,3.25,0.375,2.75
2003-06,1,2,,3.75,4.75,3.25,0.375,2.5
2003-07,1,2,,3.5,4.75,3,0.375,2.5
2003-08,1,2,,3.5,4.75,3,0.375,2.5
2003-09,1,2,,3.5,4.75,2.75,0.375,2.5
2003-10,1,2,,3.5,4.75,2.75,0.375,2.5
2003-11,1,2,,3.75,5,2.75,0.375,2.5
2003-12,1,2,,3.75,5.25,2.75,0.375,2.5
2004-01,1,2,,3.75,5.25,2.5,0.375,2.5
2004-02,1,2,,4,5.25,2.5,0.375,2.5
2004-03,1,2,,4,5.25,2.25,0.375,2.5
2004-04,1,2,,4,5.25,2,0.375,2.5
2004-05,1,2,,4.25,5.25,2,0.375,2.5
2004-06,1.25,2,,4.5,5.25,2,0.5,2.5
2004-07,1.25,2,,4.5,5.25,2,0.5,2.75
2004-08,1.5,2,,4.75,5.25,2,0.5,3
2004-09,1.75,2,,4.75,5.25,2.25,0.75,3.25
2004-10,1.75,2,,4.75,5.25,2.5,0.75,3.25
2004-11,2,2,,4.75,5.25,2.5,0.75,3.5
2004-12,2.25,2,,4.75,5.25,2.5,0.75,3.75
2005-01,2.25,2,,4.75,5.25,2.5,0.75,3.75
2005-02,2.5,2,,4.75,5.25,2.5,0.75,4
2005-03,2.75,2,,4.75,5.5,2.5,0.75,4.25
2005-04,2.75,2,,4.75,5.5,2.5,0.75,4.25
2005-05,3,2,,4.75,5.5,2.5,0.75,4.5
2005-06,3.25,2,,4.75,5.5,2.5,0.75,4.5
2005-07,3.25,2,,4.75,5.5,2.5,0.75,4.75
2005-08,3.5,2,,4.5,5.5,2.5,0.75,5
2005-09,3.75,2,,4.5,5.5,2.75,0.75,5.25
2005-10,3.75,2,,4.5,5.5,3,0.75,5.25
2005-11,4,2,,4.5,5.5,3,0.75,5.5
2005-12,4.25,2.25,,4.5,5.5,3.25,1,5.75
2006-01,4.5,2.25,,4.5,5.5,3.5,1,5.75
2006-02,4.5,2.25,,4.5,5.5,3.5,1,6
2006-03,4.75,2.5,0,4.5,5.5,3.75,1.25,6.25
2006-04,4.75,2.5,0,4.5,5.5,4,1.25,6.25
2006-05,5,2.5,0,4.5,5.75,4.25,1.25,6.5
2006-06,5.25,2.75,0,4.5,5.75,4.25,1.5,6.75
2006-07,5.25,2.75,0.25,4.5,5.75,4.25,1.5,6.75
2006-08,5.25,3,0.25,4.75,6,4.25,1.5,6.75
2006-09,5.25,3,0.25,4.75,6,4.25,1.75,6.75
2006-10,5.25,3.25,0.25,4.75,6,4.25,1.75,6.75
2006-11,5.25,3.25,0.25,5,6.25,4.25,1.75,6.75
2006-12,5.25,3.5,0.25,5,6.25,4.25,2,6.75
2007-01,5.25,3.5,0.25,5.25,6.25,4.25,2,6.75
2007-02,5.25,3.5,0.5,5.25,6.25,4.25,2,6.75
2007-03,5.25,3.75,0.5,5.25,6.25,4.25,2.25,6.75
2007-04,5.25,3.75,0.5,5.25,6.25,4.25,2.25,6.75
2007-05,5.25,3.75,0.5,5.5,6.25,4.25,2.25,6.75
